Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.21841180666666668,2.962593566666666,1.1256924333333334,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,0.2960895316666667,3.298520416666667,3.3949916333333334,0.0,6
Rectangular,FewShot_PEFT,0.20538541666666665,2.4894335833333336,3.065382416666667,0.0,6
Rectangular,Domain_Transfer_MMD,0.23651445833333332,3.17138295,3.3923673666666665,0.0,6
Rectangular,Physics_TTA,0.28590819333333334,3.233712966666667,3.38357295,0.0,6
Ellipse,Real_Only_Scratch,0.267779185,2.8599179,1.5993359,75.0,4
Ellipse,Source_Only_ZeroShot,0.1513302655,3.758152,2.0275991749999998,0.0,4
Ellipse,FewShot_PEFT,0.131352575,2.9311080075,1.7042594,0.0,4
Ellipse,Domain_Transfer_MMD,0.1101876035,3.514164425,1.9916297250000001,0.0,4
Ellipse,Physics_TTA,0.145275458,3.6983950250000004,2.024972075,0.0,4
Triangular,Real_Only_Scratch,0.27942127666666666,3.627681966666666,1.3192620166666666,66.66666666666666,6
Triangular,Source_Only_ZeroShot,0.3155216783333333,4.403974033333333,3.3757457333333334,0.0,6
Triangular,FewShot_PEFT,0.22254583166666667,3.4909038333333338,3.0540669499999997,0.0,6
Triangular,Domain_Transfer_MMD,0.27156089499999997,4.229980966666667,3.3292258833333332,0.0,6
Triangular,Physics_TTA,0.30710855833333334,4.367922466666666,3.3630218,0.0,6
Step_R,Real_Only_Scratch,0.0268590155,2.31014985,1.05743195,0.0,2
Step_R,Source_Only_ZeroShot,0.556747495,3.9511085,2.54909225,100.0,2
Step_R,FewShot_PEFT,0.462708265,3.0467219500000002,2.2173044500000003,100.0,2
Step_R,Domain_Transfer_MMD,0.51063615,3.9119539000000003,2.5220129499999997,100.0,2
Step_R,Physics_TTA,0.54712082,3.9407382,2.5418073999999997,100.0,2
Step_T,Real_Only_Scratch,0.094137165,3.7369561,1.27026245,0.0,2
Step_T,Source_Only_ZeroShot,0.48003128500000003,5.0039473,2.30549575,0.0,2
Step_T,FewShot_PEFT,0.38828227,4.085497849999999,1.9702680000000001,0.0,2
Step_T,Domain_Transfer_MMD,0.42660087,4.6487255,2.1866999,0.0,2
Step_T,Physics_TTA,0.46980852500000003,4.96771435,2.2816171499999998,0.0,2
