Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,33.45,"[17.9, 49.7]",0.301,0.2604,2.9596,1.1682,65.1,29.6,58.4,51.0,1.4628,1.7518,-6.941,-1.874
Source_Only_ZeroShot,20,5.0,"[0.0, 15.0]",10.0,2.86,"[0.0, 8.0]",-0.155,0.2138,14.9224,5.0798,53.5,149.2,254.0,152.2,6.7387,6.9477,-3.718,-41.705
FewShot_PEFT,20,5.0,"[0.0, 15.0]",10.0,2.86,"[0.0, 8.0]",-0.155,0.1769,13.7438,4.8481,44.2,137.4,242.4,141.4,6.2563,6.4494,-2.49,-37.91
Domain_Transfer_MMD,20,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",-0.238,0.161,13.0942,4.6255,40.2,130.9,231.3,134.2,5.9602,6.157,-1.877,-34.371
Physics_TTA,20,5.0,"[0.0, 15.0]",10.0,2.86,"[0.0, 8.0]",-0.155,0.2168,14.623,5.0455,54.2,146.2,252.3,150.9,6.6284,6.8366,-3.823,-41.067
