Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2305,2.7008,1.1905,57.6,27.0,59.5,48.0,1.3739,1.5996,-4.727,-1.851
Source_Only_ZeroShot,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,49.618,608.6594,197.28,12404.5,6086.6,9864.0,9451.7,285.1858,285.1864,-212236.854,-60811.545
FewShot_PEFT,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,49.3632,605.2626,196.7693,12340.8,6052.6,9838.5,9410.6,283.7984,283.799,-210062.401,-60497.092
Domain_Transfer_MMD,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,49.345,604.6506,196.7446,12336.2,6046.5,9837.2,9406.7,283.58,283.5807,-209907.382,-60481.954
Physics_TTA,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,49.6358,608.3858,197.3165,12408.9,6083.9,9865.8,9452.9,285.1127,285.1133,-212388.923,-60834.081
