Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.25058051333333337,2.522231666666667,0.8780288033333332,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,170.11389166666666,4284.39665,507.07946,0.0,6
Rectangular,FewShot_PEFT,169.88722833333333,4280.969966666667,506.56656833333335,0.0,6
Rectangular,Domain_Transfer_MMD,169.26840333333334,4280.497733333334,506.79123000000004,0.0,6
Rectangular,Physics_TTA,170.17103,4284.175883333333,507.0280233333333,0.0,6
Ellipse,Real_Only_Scratch,0.4098891025,3.5419214,1.936568925,50.0,4
Ellipse,Source_Only_ZeroShot,397.57592,4560.078925,532.9580550000001,100.0,4
Ellipse,FewShot_PEFT,397.332585,4557.04665,532.5040725,0.0,4
Ellipse,Domain_Transfer_MMD,396.7179575,4556.40895,532.54596,0.0,4
Ellipse,Physics_TTA,397.57461249999994,4559.8081250000005,532.9214575,0.0,4
Triangular,Real_Only_Scratch,0.141975839,2.6312631666666664,1.0599482816666665,66.66666666666666,6
Triangular,Source_Only_ZeroShot,170.10701000000003,4284.39135,507.08196000000004,0.0,6
Triangular,FewShot_PEFT,169.88035166666668,4280.964800000001,506.56905,100.0,6
Triangular,Domain_Transfer_MMD,169.26479666666668,4280.494983333333,506.79253166666666,0.0,6
Triangular,Physics_TTA,170.16458,4284.171216666667,507.0303616666667,0.0,6
Step_R,Real_Only_Scratch,0.19205957499999998,2.4045391,1.1562755999999998,0.0,2
Step_R,Source_Only_ZeroShot,170.781075,4284.75035,505.90977499999997,0.0,2
Step_R,FewShot_PEFT,170.55438,4281.32425,505.39698999999996,0.0,2
Step_R,Domain_Transfer_MMD,169.72059000000002,4280.689200000001,505.69965,0.0,2
Step_R,Physics_TTA,170.865445,4284.5503,505.84842,100.0,2
Step_T,Real_Only_Scratch,0.06984728500000001,1.24942205,1.3967193,0.0,2
Step_T,Source_Only_ZeroShot,170.648045,4284.649649999999,505.958055,0.0,2
Step_T,FewShot_PEFT,170.42134499999997,4281.22375,505.44525,0.0,2
Step_T,Domain_Transfer_MMD,169.648735,4280.6347000000005,505.72577,100.0,2
Step_T,Physics_TTA,170.72723,4284.4457999999995,505.898625,0.0,2
