Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.33769115833333335,4.063905683333333,0.8358678174999999,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,0.7917238633333333,2.278382966666667,0.7467418683333333,66.66666666666666,6
Rectangular,FewShot_PEFT,0.12815927400000002,0.722004421,0.53006721,66.66666666666666,6
Rectangular,Domain_Transfer_MMD,0.14486821333333333,0.4994916833333333,0.45095241366666655,66.66666666666666,6
Rectangular,Physics_TTA,0.792971435,1.91575705,0.6753107947,66.66666666666666,6
Ellipse,Real_Only_Scratch,0.1602493835,2.269971875,1.3575131625,75.0,4
Ellipse,Source_Only_ZeroShot,0.58140758,3.3118021499999997,1.254076215,0.0,4
Ellipse,FewShot_PEFT,0.24437814499999996,2.86682965,1.323481225,25.0,4
Ellipse,Domain_Transfer_MMD,0.2823583125,1.9404811849999999,1.2982642625,25.0,4
Ellipse,Physics_TTA,0.5098725575,2.072358625,1.1311738425,0.0,4
Triangular,Real_Only_Scratch,0.1621474175,4.88446495,1.3344967683333333,66.66666666666666,6
Triangular,Source_Only_ZeroShot,0.8503167166666666,2.1066637,0.6997318016666666,0.0,6
Triangular,FewShot_PEFT,0.18982425233333333,1.5010528416666664,1.0372906566666666,0.0,6
Triangular,Domain_Transfer_MMD,0.20360456666666668,1.5427761866666667,0.941470555,16.666666666666664,6
Triangular,Physics_TTA,0.8220516116666667,1.5067103666666666,0.6848751716666667,0.0,6
Step_R,Real_Only_Scratch,0.124795037,4.1178605,0.720362435,0.0,2
Step_R,Source_Only_ZeroShot,1.1715914,1.7197442,1.1771001,0.0,2
Step_R,FewShot_PEFT,0.37168426,0.3642192,1.2297116,100.0,2
Step_R,Domain_Transfer_MMD,0.3920463,0.225636005,1.0741470850000001,100.0,2
Step_R,Physics_TTA,1.11391485,1.2161922500000002,1.2570959,0.0,2
Step_T,Real_Only_Scratch,0.054790675,4.2601888,0.9481374499999999,0.0,2
Step_T,Source_Only_ZeroShot,1.1131397,0.8916425649999999,1.35369505,0.0,2
Step_T,FewShot_PEFT,0.39790869,0.52983665,1.3588407500000002,0.0,2
Step_T,Domain_Transfer_MMD,0.37142845,0.61776113,1.27916085,0.0,2
Step_T,Physics_TTA,1.11315955,0.8914060749999999,1.3536858500000002,0.0,2
