Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.1655,2.2946,1.0624,41.4,22.9,53.1,39.1,1.1742,1.3654,-3.002,-1.457
Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,4.0,"[0.0, 8.7]",0.0,0.1354,11.2896,2.9842,33.9,112.9,149.2,98.7,4.8031,4.9635,-1.498,-14.081
FewShot_PEFT,20,10.0,"[0.0, 25.0]",20.0,4.0,"[0.0, 8.7]",0.0,0.1064,10.1701,2.7559,26.6,101.7,137.8,88.7,4.3441,4.5098,-0.747,-12.037
Domain_Transfer_MMD,20,10.0,"[0.0, 25.0]",20.0,4.0,"[0.0, 8.7]",0.0,0.123,11.1074,2.7065,30.7,111.1,135.3,92.4,4.6456,4.8431,-1.402,-11.791
Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.81,"[0.0, 8.3]",0.0,0.1343,11.1041,2.9357,33.6,111.0,146.8,97.1,4.7247,4.8857,-1.429,-13.642
