Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.1599,3.1426,1.0944,40.0,31.4,54.7,42.0,1.4656,1.7472,-2.535,-1.751
Source_Only_ZeroShot,20,25.0,"[5.0, 45.0]",16.67,8.7,"[2.5, 14.6]",-0.045,1.0977,1.2761,2.9027,274.4,12.8,145.1,144.1,1.7589,1.9786,-107.507,-13.613
FewShot_PEFT,20,35.0,"[15.0, 55.0]",36.67,33.58,"[12.5, 44.8]",0.169,0.1753,1.0028,1.1995,43.8,10.0,60.0,37.9,0.7926,1.0084,-2.954,-2.348
Domain_Transfer_MMD,20,55.0,"[30.0, 75.0]",55.0,53.58,"[27.1, 68.1]",0.445,0.185,0.9967,1.1805,46.2,10.0,59.0,38.4,0.7874,1.0127,-3.408,-2.545
Physics_TTA,20,25.0,"[5.0, 45.0]",16.67,8.7,"[2.5, 14.6]",-0.045,1.0576,0.8831,2.7452,264.4,8.8,137.3,136.8,1.562,1.748,-100.693,-12.159
