Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D,Architecture,Model_Tag,Checkpoint_Dir
PI_LGL,10,50.0,"[20.0, 80.0]",40.0,28.0,"[10.9, 60.0]",0.407,260.7802,4383.5458,515.5345,65195.0,43835.5,25776.7,44935.7,1719.9535,1737.2689,-7622784.28,-431734.277,MLP_Xiong,xiong_train_01pct_PINN_base_a1_W0_E300_seed_42_run_20260828_161011,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_xiong_pinn\loss_mse\train_01pct\PINN_base_a1_W0_E300_seed_42_run_20260828_161011
PI_LGL,10,30.0,"[0.0, 60.0]",20.0,9.23,"[0.0, 25.0]",0.0,89.6763,1228.9317,280.1155,22419.1,12289.3,14005.8,16238.1,532.9078,534.5967,-695034.21,-126903.819,MLP_Xiong,xiong_train_03pct_PINN_base_a1_W0_E300_seed_42_run_20260829_214641,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_xiong_pinn\loss_mse\train_03pct\PINN_base_a1_W0_E300_seed_42_run_20260829_214641
PI_LGL,10,30.0,"[0.0, 60.0]",20.0,9.23,"[0.0, 22.2]",0.0,0.4375,228.9192,5.875,109.4,2289.2,293.7,897.4,78.4106,78.4484,-16.527,-53.646,MLP_Xiong,xiong_train_05pct_PINN_alpha_a0_W0_E300_seed_42_run_20260828_161012,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_xiong_pinn\loss_mse\train_05pct\PINN_alpha_a0_W0_E300_seed_42_run_20260828_161012
PI_LGL,10,30.0,"[0.0, 60.0]",20.0,9.23,"[0.0, 25.0]",0.0,0.68,1095.4322,34.747,170.0,10954.3,1737.3,4287.2,376.9531,376.959,-39.862,-1886.488,MLP_Xiong,xiong_train_05pct_PINN_alpha_a1000_W0_E300_seed_42_run_20260829_091002,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_xiong_pinn\loss_mse\train_05pct\PINN_alpha_a1000_W0_E300_seed_42_run_20260829_091002
PI_LGL,10,30.0,"[0.0, 60.0]",40.0,21.0,"[0.0, 38.6]",0.301,56.365,3383.5649,634.413,14091.2,33835.6,31720.6,26549.2,1358.1143,1358.1145,-273880.321,-628874.75,MLP_Xiong,xiong_train_05pct_PINN_alpha_a100_W0_E300_seed_42_run_20260829_002122,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_xiong_pinn\loss_mse\train_05pct\PINN_alpha_a100_W0_E300_seed_42_run_20260829_002122
PI_LGL,10,30.0,"[0.0, 60.0]",20.0,9.23,"[0.0, 25.0]",0.0,77.6408,2800.9426,683.1026,19410.2,28009.4,34155.1,27191.6,1187.2287,1187.2289,-519663.68,-729107.988,MLP_Xiong,xiong_train_05pct_PINN_alpha_a10_W0_E300_seed_42_run_20260828_175537,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_xiong_pinn\loss_mse\train_05pct\PINN_alpha_a10_W0_E300_seed_42_run_20260828_175537
PI_LGL,10,30.0,"[0.0, 60.0]",20.0,9.23,"[0.0, 25.0]",0.0,102.4893,448.1043,185.301,25622.3,4481.0,9265.1,13122.8,245.2982,245.299,-905523.161,-53650.734,MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_123_run_20260829_101229,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_xiong_pinn\loss_mse\train_05pct\PINN_base_a1_W0_E300_seed_123_run_20260829_101229
PI_LGL,10,30.0,"[0.0, 60.0]",20.0,9.23,"[0.0, 22.2]",0.0,99.2225,3158.8136,86.9014,24805.6,31588.1,4345.1,20246.3,1114.9792,1114.9804,-848716.721,-11799.785,MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_42_run_20260830_023407,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_xiong_pinn\loss_mse\train_05pct\PINN_base_a1_W0_E300_seed_42_run_20260830_023407
PI_LGL,10,20.0,"[0.0, 50.0]",13.33,8.0,"[0.0, 22.2]",-0.177,54.814,425.7792,82.7912,13703.5,4257.8,4139.6,7367.0,187.7948,187.8462,-259480.603,-10733.514,MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_456_run_20260829_114928,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_xiong_pinn\loss_mse\train_05pct\PINN_base_a1_W0_E300_seed_456_run_20260829_114928
PI_LGL,10,30.0,"[0.0, 60.0]",20.0,9.23,"[0.0, 22.2]",0.0,45.7444,804.3386,266.4121,11436.1,8043.4,13320.6,10933.4,372.165,372.1655,-180391.864,-110899.057,MLP_Xiong,xiong_train_05pct_PINN_base_a1_W0_E300_seed_789_run_20260829_180550,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_xiong_pinn\loss_mse\train_05pct\PINN_base_a1_W0_E300_seed_789_run_20260829_180550
PI_LGL,10,30.0,"[0.0, 60.0]",20.0,9.23,"[0.0, 22.2]",0.0,48.7216,596.6818,195.4873,12180.4,5966.8,9774.4,9307.2,280.2969,280.2975,-204637.749,-59711.368,MLP_Xiong,xiong_train_07pct_PINN_base_a1_W0_E300_seed_42_run_20260830_032558,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_xiong_pinn\loss_mse\train_07pct\PINN_base_a1_W0_E300_seed_42_run_20260830_032558
PI_LGL,10,30.0,"[0.0, 60.0]",20.0,9.23,"[0.0, 22.2]",0.0,1.147,8.3496,11.3875,286.7,83.5,569.4,313.2,6.9614,6.9899,-114.107,-204.344,MLP_Xiong,xiong_train_10pct_PINN_base_a1_W0_E300_seed_42_run_20260830_134217,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_xiong_pinn\loss_mse\train_10pct\PINN_base_a1_W0_E300_seed_42_run_20260830_134217
