Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.20495115166666666,2.847506655,0.7958918566666666,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,0.1923050083333334,10.363110933333333,3.234580883333333,0.0,6
Rectangular,FewShot_PEFT,0.161199261,9.391716,3.0202112833333334,0.0,6
Rectangular,Domain_Transfer_MMD,0.19638307000000002,10.00674345,2.8956755,0.0,6
Rectangular,Physics_TTA,0.19146894566666664,10.149003666666667,3.1880604499999996,0.0,6
Ellipse,Real_Only_Scratch,0.35631484,1.531463375,1.191246735,50.0,4
Ellipse,Source_Only_ZeroShot,0.090770767,8.722734075,1.878207225,0.0,4
Ellipse,FewShot_PEFT,0.086805685825,7.807814475000001,1.6641774249999999,0.0,4
Ellipse,Domain_Transfer_MMD,0.09700798975,8.18675745,1.4486481,0.0,4
Ellipse,Physics_TTA,0.089556231,8.557237624999999,1.8346246499999999,0.0,4
Triangular,Real_Only_Scratch,0.08020833183333333,2.3979922166666667,1.3891548916666665,66.66666666666666,6
Triangular,Source_Only_ZeroShot,0.046744604833333335,13.401155166666667,3.7399449333333337,0.0,6
Triangular,FewShot_PEFT,0.01708813512783333,12.136277499999998,3.5026048333333333,0.0,6
Triangular,Domain_Transfer_MMD,0.016477664316666668,13.514998,3.5866754333333337,0.0,6
Triangular,Physics_TTA,0.04686223430000001,13.208606000000001,3.6952300000000005,0.0,6
Step_R,Real_Only_Scratch,0.031976193,1.69269085,0.7152353499999999,0.0,2
Step_R,Source_Only_ZeroShot,0.21980822,11.3426245,2.38031625,0.0,2
Step_R,FewShot_PEFT,0.16989296999999998,9.981322,2.12414785,0.0,2
Step_R,Domain_Transfer_MMD,0.2099393,11.02369875,2.05546445,0.0,2
Step_R,Physics_TTA,0.21427262,10.999172,2.31527975,0.0,2
Step_T,Real_Only_Scratch,0.054541318000000005,2.4538510000000002,0.9714123000000001,0.0,2
Step_T,Source_Only_ZeroShot,0.23562664,12.815434499999999,2.78134735,100.0,2
Step_T,FewShot_PEFT,0.18593585499999998,11.5196905,2.5379646,100.0,2
Step_T,Domain_Transfer_MMD,0.187010375,13.111372,2.6654818000000002,100.0,2
Step_T,Physics_TTA,0.23474124000000002,12.8541075,2.72234915,100.0,2
