Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.2144933265,3.9800514833333334,0.8115450533333334,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,49.59212016666667,608.5598516666668,197.67472166666664,0.0,6
Rectangular,FewShot_PEFT,49.337278500000004,605.16301,197.16398333333333,100.0,6
Rectangular,Domain_Transfer_MMD,49.31953583333333,604.5626816666667,197.13816166666666,0.0,6
Rectangular,Physics_TTA,49.610052333333336,608.2883166666667,197.71130833333333,100.0,6
Ellipse,Real_Only_Scratch,0.3390234425,0.7274875725000001,1.2514809900000001,50.0,4
Ellipse,Source_Only_ZeroShot,49.494379249999994,608.5229125,196.67158,0.0,4
Ellipse,FewShot_PEFT,49.239571749999996,605.12654,196.16090249999996,0.0,4
Ellipse,Domain_Transfer_MMD,49.21651375,604.36309,196.1272775,0.0,4
Ellipse,Physics_TTA,49.51187175,608.24303,196.707805,0.0,4
Triangular,Real_Only_Scratch,0.2228519933333333,1.722314675,1.2392352466666667,66.66666666666666,6
Triangular,Source_Only_ZeroShot,49.60704283333333,608.8240999999999,197.68864666666664,100.0,6
Triangular,FewShot_PEFT,49.35221766666667,605.427495,197.17793666666668,0.0,6
Triangular,Domain_Transfer_MMD,49.33371333333334,604.8153333333333,197.15598,0.0,6
Triangular,Physics_TTA,49.62469466666667,608.5494649999999,197.72523333333334,0.0,6
Step_R,Real_Only_Scratch,0.180150855,4.6850613,1.0628066999999999,0.0,2
Step_R,Source_Only_ZeroShot,49.798186,608.70985,196.68373,0.0,2
Step_R,FewShot_PEFT,49.543337,605.312895,196.172975,0.0,2
Step_R,Domain_Transfer_MMD,49.528938,604.8122699999999,196.154405,0.0,2
Step_R,Physics_TTA,49.816106000000005,608.43957,196.72044499999998,0.0,2
Step_T,Real_Only_Scratch,0.134364978,3.7612338,2.1865069,0.0,2
Step_T,Source_Only_ZeroShot,49.7956825,608.68616,196.682715,0.0,2
Step_T,FewShot_PEFT,49.54082,605.2891,196.17193500000002,0.0,2
Step_T,Domain_Transfer_MMD,49.527874,604.83332,196.154855,100.0,2
Step_T,Physics_TTA,49.813750999999996,608.41862,196.71954,0.0,2
