Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2289,3.3262,1.106,57.2,33.3,55.3,48.6,1.5537,1.7559,-5.288,-1.247
Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.5664,2.1762,0.8783,141.6,21.8,43.9,69.1,1.207,1.4032,-37.248,-0.632
FewShot_PEFT,20,55.0,"[35.0, 75.0]",40.0,39.31,"[22.2, 56.9]",0.404,0.123,0.5734,0.9827,30.7,5.7,49.1,28.5,0.5597,0.7548,-1.233,-1.0
Domain_Transfer_MMD,20,55.0,"[35.0, 75.0]",40.0,38.1,"[21.4, 58.2]",0.398,0.0988,0.4368,0.8771,24.7,4.4,43.9,24.3,0.4709,0.5625,-0.325,-0.762
Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.5723,0.8627,1.0035,143.1,8.6,50.2,67.3,0.8128,0.9853,-34.942,-1.14
