Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,33.45,"[17.9, 49.7]",0.301,0.2,3.9763,1.0895,50.0,39.8,54.5,48.1,1.7552,1.9046,-3.475,-1.507
Source_Only_ZeroShot,20,20.0,"[5.0, 40.0]",13.33,8.89,"[2.7, 15.8]",-0.033,0.8374,2.239,0.9378,209.3,22.4,46.9,92.9,1.3381,1.4563,-63.405,-0.742
FewShot_PEFT,20,35.0,"[15.0, 55.0]",38.33,33.33,"[12.4, 46.7]",0.195,0.2212,1.3297,0.9938,55.3,13.3,49.7,39.4,0.8482,1.0465,-4.596,-0.979
Domain_Transfer_MMD,20,40.0,"[20.0, 65.0]",41.67,38.67,"[15.1, 55.7]",0.256,0.2374,1.0851,0.9127,59.3,10.9,45.6,38.6,0.7451,0.9165,-5.178,-0.819
Physics_TTA,20,20.0,"[5.0, 40.0]",13.33,8.42,"[2.5, 15.0]",-0.051,0.8092,1.652,0.8954,202.3,16.5,44.8,87.9,1.1188,1.2127,-59.609,-0.618
