Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.32279695333333336,3.145823733333333,0.8888496976666667,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,78.51464,2812.9324,685.3086,0.0,6
Rectangular,FewShot_PEFT,78.259224,2809.5137,684.7928499999999,100.0,6
Rectangular,Domain_Transfer_MMD,78.259224,2809.5137,684.7928499999999,0.0,6
Rectangular,Physics_TTA,78.53337999999998,2812.6821,685.34607,100.0,6
Ellipse,Real_Only_Scratch,0.479452585,1.569592225,1.4484726525,50.0,4
Ellipse,Source_Only_ZeroShot,78.41463999999999,2812.9324,684.3086,100.0,4
Ellipse,FewShot_PEFT,78.159222,2809.5137,683.79285,0.0,4
Ellipse,Domain_Transfer_MMD,78.159222,2809.5137,683.79285,0.0,4
Ellipse,Physics_TTA,78.433377,2812.6821,684.34607,0.0,4
Triangular,Real_Only_Scratch,0.11876812499999999,2.8242758833333332,1.262967285,66.66666666666666,6
Triangular,Source_Only_ZeroShot,78.51464,2812.9324,685.3086,0.0,6
Triangular,FewShot_PEFT,78.259224,2809.5137,684.7928499999999,0.0,6
Triangular,Domain_Transfer_MMD,78.259224,2809.5137,684.7928499999999,0.0,6
Triangular,Physics_TTA,78.53337999999998,2812.6821,685.34607,0.0,6
Step_R,Real_Only_Scratch,0.07437381200000001,3.0169813,0.650738,0.0,2
Step_R,Source_Only_ZeroShot,78.71464,2812.9324,684.3086,0.0,2
Step_R,FewShot_PEFT,78.45922,2809.5137,683.79285,0.0,2
Step_R,Domain_Transfer_MMD,78.45922,2809.5137,683.79285,0.0,2
Step_R,Physics_TTA,78.733376,2812.6821,684.34607,0.0,2
Step_T,Real_Only_Scratch,0.0644707375,1.51425645,1.08904375,0.0,2
Step_T,Source_Only_ZeroShot,78.71464,2812.9324,684.3086,0.0,2
Step_T,FewShot_PEFT,78.45922,2809.5137,683.79285,0.0,2
Step_T,Domain_Transfer_MMD,78.45922,2809.5137,683.79285,0.0,2
Step_T,Physics_TTA,78.733376,2812.6821,684.34607,0.0,2
