Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.243,2.463,1.0929,60.8,24.6,54.6,46.7,1.2663,1.4751,-6.012,-1.647
Source_Only_ZeroShot,20,25.0,"[5.0, 45.0]",16.67,9.09,"[2.7, 14.3]",-0.02,0.9118,1.5508,0.9173,227.9,15.5,45.9,96.4,1.1266,1.3908,-73.85,-1.338
FewShot_PEFT,20,30.0,"[10.0, 50.0]",33.33,25.97,"[8.6, 38.1]",0.117,0.1705,1.0843,1.057,42.6,10.8,52.8,35.4,0.7706,0.9992,-2.656,-1.342
Domain_Transfer_MMD,20,40.0,"[20.0, 65.0]",31.67,33.33,"[16.0, 46.5]",0.263,0.1759,0.9941,1.0127,44.0,9.9,50.6,34.8,0.7276,0.9369,-2.942,-1.295
Physics_TTA,20,25.0,"[5.0, 45.0]",16.67,10.53,"[3.6, 15.7]",0.032,0.884,1.3138,0.8536,221.0,13.1,42.7,92.3,1.0171,1.2553,-70.142,-1.106
Physics_Informed_MMD,20,40.0,"[20.0, 65.0]",31.67,31.52,"[14.3, 46.0]",0.229,0.1327,0.392,0.8825,33.2,3.9,44.1,27.1,0.4691,0.6521,-1.048,-0.948
