Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.25821319833333334,4.919401983333333,0.9360223833333334,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,1.7418086,9.103289166666668,13.744486166666663,0.0,6
Rectangular,FewShot_PEFT,1.5526017000000003,8.961666166666667,13.262960083333333,0.0,6
Rectangular,Domain_Transfer_MMD,1.3535734833333333,8.710501583333334,11.789442083333332,0.0,6
Rectangular,Physics_TTA,1.7252366000000003,9.093824166666666,13.695898000000001,0.0,6
Ellipse,Real_Only_Scratch,0.20619018249999999,1.443223275,1.0544636925000002,75.0,4
Ellipse,Source_Only_ZeroShot,1.5579899,9.03447675,11.813803,100.0,4
Ellipse,FewShot_PEFT,1.3740989750000001,8.873805,11.33972175,0.0,4
Ellipse,Domain_Transfer_MMD,1.1580602999999998,8.558174625,9.56565065,0.0,4
Ellipse,Physics_TTA,1.541319,9.024348250000001,11.750445749999999,0.0,4
Triangular,Real_Only_Scratch,0.20257831599999998,2.11988695,1.56080031,66.66666666666666,6
Triangular,Source_Only_ZeroShot,1.6346313500000003,8.994340833333332,12.622252750000001,0.0,6
Triangular,FewShot_PEFT,1.4519827,8.8266315,12.149703333333335,0.0,6
Triangular,Domain_Transfer_MMD,1.2360309333333332,8.481756666666667,10.334915666666667,0.0,6
Triangular,Physics_TTA,1.6114365833333333,8.975569833333333,12.480334833333336,0.0,6
Step_R,Real_Only_Scratch,0.070857135,1.9024291,0.632331845,0.0,2
Step_R,Source_Only_ZeroShot,1.84722755,9.0447635,11.986171,0.0,2
Step_R,FewShot_PEFT,1.6624291,8.8928595,11.508765,0.0,2
Step_R,Domain_Transfer_MMD,1.46227275,8.594849,9.784011,0.0,2
Step_R,Physics_TTA,1.8357538,9.0355135,11.946539999999999,100.0,2
Step_T,Real_Only_Scratch,0.08719959999999999,1.69101,1.10604875,0.0,2
Step_T,Source_Only_ZeroShot,1.86340415,9.056947000000001,12.123646,0.0,2
Step_T,FewShot_PEFT,1.67782985,8.9066765,11.645479250000001,100.0,2
Step_T,Domain_Transfer_MMD,1.477547,8.616845999999999,9.958309,100.0,2
Step_T,Physics_TTA,1.8422484,9.042646,12.009206500000001,0.0,2
