Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.1777,3.15,1.1737,44.4,31.5,58.7,44.9,1.5005,1.6572,-2.71,-1.697
Source_Only_ZeroShot,20,25.0,"[10.0, 45.0]",30.0,20.38,"[6.1, 34.4]",0.111,1.0539,2.1327,1.1849,263.5,21.3,59.2,114.7,1.4572,1.6409,-98.159,-1.865
FewShot_PEFT,20,60.0,"[40.0, 80.0]",56.67,55.67,"[32.4, 72.0]",0.473,0.1012,0.5706,0.831,25.3,5.7,41.5,24.2,0.5009,0.6428,-0.228,-0.603
Domain_Transfer_MMD,20,55.0,"[35.0, 75.0]",41.67,40.19,"[23.2, 57.2]",0.407,0.0895,0.7423,0.949,22.4,7.4,47.5,25.7,0.5936,0.716,0.055,-0.831
Physics_TTA,20,25.0,"[5.0, 45.0]",23.33,20.38,"[5.0, 32.5]",0.052,1.0391,0.8401,1.1405,259.8,8.4,57.0,108.4,1.0066,1.1589,-96.222,-1.671
