,Ellipse,Rectangular,Step_R,Step_T,Triangular
Ellipse,0,0,0,0,2
Rectangular,0,0,0,0,3
Step_R,0,0,0,0,1
Step_T,0,0,0,0,1
Triangular,0,0,0,0,3
