,Ellipse,Rectangular,Step_R,Step_T,Triangular
Ellipse,1,0,0,0,1
Rectangular,0,2,1,0,0
Step_R,0,0,1,0,0
Step_T,0,1,0,0,0
Triangular,0,0,0,0,3
