Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2515,2.8156,1.2227,62.9,28.2,61.1,50.7,1.4299,1.6415,-6.737,-1.879
Source_Only_ZeroShot,20,20.0,"[5.0, 40.0]",20.0,11.9,"[3.3, 21.2]",0.051,0.9043,4.6614,0.8212,226.1,46.6,41.1,104.6,2.129,2.2085,-70.581,-0.368
FewShot_PEFT,20,45.0,"[25.0, 65.0]",41.67,41.19,"[23.1, 55.0]",0.332,0.1535,1.222,1.0191,38.4,12.2,51.0,33.8,0.7982,0.9837,-2.365,-1.2
Domain_Transfer_MMD,20,50.0,"[30.0, 70.0]",43.33,46.67,"[21.4, 62.2]",0.355,0.1577,1.1329,0.9895,39.4,11.3,49.5,33.4,0.76,0.9416,-2.463,-1.213
Physics_TTA,20,20.0,"[5.0, 40.0]",13.33,8.42,"[2.5, 15.0]",-0.051,0.8942,3.8334,0.8056,223.5,38.3,40.3,100.7,1.8444,1.9302,-69.013,-0.311
