,Ellipse,Rectangular,Step_R,Step_T,Triangular
Ellipse,2,0,0,0,0
Rectangular,0,0,0,0,3
Step_R,0,0,0,0,1
Step_T,1,0,0,0,0
Triangular,0,0,0,0,3
