Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.1782,2.3985,0.8996,44.6,24.0,45.0,37.8,1.1588,1.3968,-2.681,-0.742
Source_Only_ZeroShot,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,2.7665,11.494,6.2121,691.6,114.9,310.6,372.4,6.8242,7.0591,-686.173,-61.467
FewShot_PEFT,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,2.6175,10.1359,5.897,654.4,101.4,294.9,350.2,6.2168,6.4582,-615.328,-55.43
Domain_Transfer_MMD,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,2.1311,11.7746,5.1893,532.8,117.7,259.5,303.3,6.365,6.6459,-418.83,-43.417
Physics_TTA,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,2.7638,11.0443,6.1845,690.9,110.4,309.2,370.2,6.6642,6.8996,-684.732,-60.927
