Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,50.0,"[30.0, 70.1]",40.0,37.33,"[21.1, 53.3]",0.379,0.1724,2.21,1.1178,43.1,22.1,55.9,40.4,1.1667,1.3296,-3.308,-1.586
Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",10.0,4.0,"[0.0, 10.0]",-0.197,90.5665,1239.5198,282.0118,22641.6,12395.2,14100.6,16379.1,537.366,539.0454,-708891.079,-128581.0
FewShot_PEFT,20,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",-0.39,90.3162,1236.1814,281.5106,22579.1,12361.8,14075.5,16338.8,536.0028,537.6835,-704981.012,-128136.683
Domain_Transfer_MMD,20,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",-0.421,90.2504,1240.8434,280.9006,22562.6,12408.4,14045.0,16338.7,537.3315,539.017,-703952.505,-127594.276
Physics_TTA,20,20.0,"[5.0, 40.0]",20.0,6.67,"[1.9, 14.3]",0.0,90.5895,1238.9592,282.0896,22647.4,12389.6,14104.5,16380.5,537.2128,538.8916,-709250.091,-128650.56
