Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.24219003333333333,4.4650077,0.8956992583333333,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,57.237396,3395.5762,636.61926,0.0,6
Rectangular,FewShot_PEFT,56.982352999999996,3392.149,636.1047,0.0,6
Rectangular,Domain_Transfer_MMD,56.982352999999996,3392.149,636.1047,0.0,6
Rectangular,Physics_TTA,57.25614000000001,3395.3262,636.65674,0.0,6
Ellipse,Real_Only_Scratch,0.391388655,0.7600314749999999,1.37853458,50.0,4
Ellipse,Source_Only_ZeroShot,57.1373955,3395.5762,635.61926,0.0,4
Ellipse,FewShot_PEFT,56.8823525,3392.149,635.1047,0.0,4
Ellipse,Domain_Transfer_MMD,56.882351500000006,3392.149,635.1047,0.0,4
Ellipse,Physics_TTA,57.15614,3395.3262,635.65674,100.0,4
Triangular,Real_Only_Scratch,0.128964285,2.2373297833333337,1.19362211,66.66666666666666,6
Triangular,Source_Only_ZeroShot,57.237396,3395.5762,636.61926,0.0,6
Triangular,FewShot_PEFT,56.982352999999996,3392.149,636.1047,0.0,6
Triangular,Domain_Transfer_MMD,56.982352999999996,3392.149,636.1047,0.0,6
Triangular,Physics_TTA,57.25614000000001,3395.3262,636.65674,0.0,6
Step_R,Real_Only_Scratch,0.11240259,4.01450685,1.0532393,0.0,2
Step_R,Source_Only_ZeroShot,57.437397,3395.5762,635.61926,0.0,2
Step_R,FewShot_PEFT,57.182354,3392.149,635.1047,100.0,2
Step_R,Domain_Transfer_MMD,57.182351999999995,3392.149,635.1047,0.0,2
Step_R,Physics_TTA,57.456142,3395.3262,635.65674,0.0,2
Step_T,Real_Only_Scratch,0.0248740315,5.47713365,1.6644755500000001,0.0,2
Step_T,Source_Only_ZeroShot,57.437397,3395.5762,635.61926,100.0,2
Step_T,FewShot_PEFT,57.182354,3392.149,635.1047,0.0,2
Step_T,Domain_Transfer_MMD,57.18235,3392.149,635.1047,100.0,2
Step_T,Physics_TTA,57.456142,3395.3262,635.65674,0.0,2
