,Ellipse,Rectangular,Step_R,Step_T,Triangular
Ellipse,0,0,0,4,0
Rectangular,0,5,0,1,0
Step_R,0,0,1,1,0
Step_T,0,2,0,0,0
Triangular,1,0,0,5,0
