Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.25911951966666663,4.407447783333333,0.91238712,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,0.8471270816666667,4.5580209,0.6006943323333334,50.0,6
Rectangular,FewShot_PEFT,0.09214499449999998,1.0263004233333335,0.6171719649999999,66.66666666666666,6
Rectangular,Domain_Transfer_MMD,0.10813367333333333,0.8701535833333334,0.5190802233333334,66.66666666666666,6
Rectangular,Physics_TTA,0.8503847766666667,3.6815466666666663,0.5572535396666667,66.66666666666666,6
Ellipse,Real_Only_Scratch,0.41953914000000003,2.0965143625,1.4896341,50.0,4
Ellipse,Source_Only_ZeroShot,0.897006365,5.180290725,0.9905577,0.0,4
Ellipse,FewShot_PEFT,0.174530415,2.2303602750000002,1.798412925,75.0,4
Ellipse,Domain_Transfer_MMD,0.18875236874999998,1.9749913000000001,1.850174775,50.0,4
Ellipse,Physics_TTA,0.87884009,4.21576995,1.0240351875,0.0,4
Triangular,Real_Only_Scratch,0.2020198108333333,1.4874213583333333,1.1015749116666667,66.66666666666666,6
Triangular,Source_Only_ZeroShot,0.8794689133333332,4.999051883333333,0.833153572,0.0,6
Triangular,FewShot_PEFT,0.081683953,1.1649077683333333,0.8193258821666666,16.666666666666664,6
Triangular,Domain_Transfer_MMD,0.08408720188333334,1.1349965678833334,0.8177980383333333,50.0,6
Triangular,Physics_TTA,0.8662226416666666,4.236184733333333,0.8419197549999998,0.0,6
Step_R,Real_Only_Scratch,0.20617506,2.8588175,0.9635157700000001,0.0,2
Step_R,Source_Only_ZeroShot,1.07613315,4.428911149999999,1.00717463,50.0,2
Step_R,FewShot_PEFT,0.3162207,0.378574371,1.21593605,50.0,2
Step_R,Domain_Transfer_MMD,0.30977618500000004,0.5823001750000001,1.1692987000000001,50.0,2
Step_R,Physics_TTA,1.07446875,3.76305535,0.9500668999999999,0.0,2
Step_T,Real_Only_Scratch,0.086016102,3.42000985,2.2426046,0.0,2
Step_T,Source_Only_ZeroShot,0.99271463,3.15349005,0.922308575,0.0,2
Step_T,FewShot_PEFT,0.347979245,0.807397845,1.0690024,0.0,2
Step_T,Domain_Transfer_MMD,0.31355467000000004,0.7808432599999999,1.01504965,0.0,2
Step_T,Physics_TTA,0.9600208400000001,2.3865213499999998,0.8600940850000001,0.0,2
