Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2203,3.4374,1.2555,55.1,34.4,62.8,50.7,1.6377,1.8301,-3.818,-2.21
Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.81,"[0.0, 8.3]",0.0,0.9354,6.7755,3.944,233.9,67.8,197.2,166.3,3.885,4.0617,-76.108,-24.942
FewShot_PEFT,20,10.0,"[0.0, 25.0]",20.0,3.81,"[0.0, 8.3]",0.0,0.8298,5.6399,3.6558,207.4,56.4,182.8,148.9,3.3751,3.5407,-60.102,-21.479
Domain_Transfer_MMD,20,10.0,"[0.0, 25.0]",20.0,3.81,"[0.0, 8.3]",0.0,1.0542,6.1468,4.011,263.5,61.5,200.5,175.2,3.7373,3.8965,-96.445,-25.727
Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.81,"[0.0, 8.3]",0.0,0.9229,6.5728,3.9675,230.7,65.7,198.4,164.9,3.8211,3.9942,-74.186,-25.234
