Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.1774,2.7096,1.2812,44.3,27.1,64.1,45.2,1.3894,1.6103,-3.078,-1.897
Source_Only_ZeroShot,20,25.0,"[10.0, 45.0]",23.33,15.43,"[5.7, 24.4]",0.1,0.739,2.1725,0.6986,184.7,21.7,34.9,80.5,1.2034,1.2915,-48.003,-0.132
FewShot_PEFT,20,45.0,"[25.0, 65.0]",40.0,39.58,"[17.8, 58.0]",0.277,0.1962,0.9715,0.982,49.1,9.7,49.1,36.0,0.7166,0.8558,-4.497,-1.16
Domain_Transfer_MMD,20,50.0,"[30.0, 75.0]",45.0,43.64,"[21.3, 61.2]",0.35,0.2204,0.9475,0.9791,55.1,9.5,49.0,37.8,0.7157,0.8495,-5.5,-1.083
Physics_TTA,20,25.0,"[10.0, 45.0]",23.33,15.11,"[5.3, 24.5]",0.086,0.696,1.7452,0.6913,174.0,17.5,34.6,75.3,1.0442,1.1467,-42.895,-0.145
