,Ellipse,Rectangular,Step_R,Step_T,Triangular
Ellipse,2,0,0,0,2
Rectangular,0,6,0,0,0
Step_R,0,2,0,0,0
Step_T,0,2,0,0,0
Triangular,0,0,0,0,6
