Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.18892117,3.1606042833333334,0.8288693499999998,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,0.12746223833333334,12.796332916666666,1.2678571583333336,0.0,6
Rectangular,FewShot_PEFT,0.11460434366666666,11.206693833333333,1.199144425,0.0,6
Rectangular,Domain_Transfer_MMD,0.16804777666666668,11.611284166666666,1.2786731050000002,0.0,6
Rectangular,Physics_TTA,0.12534943488333333,12.780515083333333,1.278993405,0.0,6
Ellipse,Real_Only_Scratch,0.30573754,2.5623292999999996,0.943370255,100.0,4
Ellipse,Source_Only_ZeroShot,0.19385713275,10.08081385,0.5575892825,0.0,4
Ellipse,FewShot_PEFT,0.17645005875,8.541434625,0.34512663750000006,0.0,4
Ellipse,Domain_Transfer_MMD,0.15938946675000001,8.30776025,0.48330277250000003,0.0,4
Ellipse,Physics_TTA,0.20106053499999998,10.206682749999999,0.55295599,0.0,4
Triangular,Real_Only_Scratch,0.166130826,2.515601966666667,1.4295112316666667,66.66666666666666,6
Triangular,Source_Only_ZeroShot,0.123548955,12.744045666666665,1.4618077866666666,0.0,6
Triangular,FewShot_PEFT,0.10701511433333333,11.097282666666667,1.3321612333333335,0.0,6
Triangular,Domain_Transfer_MMD,0.10603072233333333,11.455413083333333,1.4487522166666666,0.0,6
Triangular,Physics_TTA,0.12618732466666666,12.739044333333332,1.4548046583333336,0.0,6
Step_R,Real_Only_Scratch,0.033058225,2.3849282499999997,0.8226129,0.0,2
Step_R,Source_Only_ZeroShot,0.078658105,14.7214355,0.6123695250000001,50.0,2
Step_R,FewShot_PEFT,0.10188740699999999,12.89243225,0.379210235,50.0,2
Step_R,Domain_Transfer_MMD,0.19552773,13.4438535,0.6345749,50.0,2
Step_R,Physics_TTA,0.0796336235,14.6139735,0.5800858799999999,50.0,2
Step_T,Real_Only_Scratch,0.067144753,4.76345525,0.842960595,0.0,2
Step_T,Source_Only_ZeroShot,0.034172297,13.328533,0.6092899,0.0,2
Step_T,FewShot_PEFT,0.05697471,11.558026,0.37930036,0.0,2
Step_T,Domain_Transfer_MMD,0.11429750999999999,11.758952,0.55036868,0.0,2
Step_T,Physics_TTA,0.0299927,13.30219375,0.5799514,0.0,2
