Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,33.45,"[17.9, 49.7]",0.301,0.215,3.1538,1.2861,53.8,31.5,64.3,49.9,1.5516,1.7085,-3.83,-1.896
Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.3174,3.9579,2.9222,79.4,39.6,146.1,88.3,2.3992,2.5202,-9.225,-13.393
FewShot_PEFT,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.2397,3.0935,2.5954,59.9,30.9,129.8,73.5,1.9762,2.1083,-4.965,-10.58
Domain_Transfer_MMD,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.2682,3.7793,2.8857,67.0,37.8,144.3,83.0,2.3111,2.4171,-6.555,-13.079
Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.3087,3.911,2.9113,77.2,39.1,145.6,87.3,2.377,2.4967,-8.708,-13.286
