,Ellipse,Rectangular,Step_R,Step_T,Triangular
Ellipse,2,0,0,0,0
Rectangular,0,3,0,0,0
Step_R,0,0,0,1,0
Step_T,0,0,0,1,0
Triangular,0,0,0,0,3
