Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2179,2.2654,1.2201,54.5,22.7,61.0,46.0,1.2345,1.3958,-3.895,-1.937
Source_Only_ZeroShot,20,20.0,"[5.0, 40.0]",20.0,6.67,"[1.9, 14.3]",0.0,96.4134,3039.2646,106.585,24103.4,30392.6,5329.3,19941.8,1080.7544,1093.7574,-811154.111,-22302.851
FewShot_PEFT,20,10.0,"[0.0, 25.0]",10.0,3.64,"[0.0, 8.7]",-0.297,96.1633,3035.9087,106.1333,24040.8,30359.1,5306.7,19902.2,1079.4017,1092.4224,-806986.11,-22149.237
Domain_Transfer_MMD,20,30.0,"[10.0, 50.0]",20.0,10.0,"[4.2, 16.7]",0.054,95.0697,3037.187,105.0919,23767.4,30371.9,5254.6,19798.0,1079.1162,1092.2342,-788278.755,-21867.311
Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,96.4937,3038.9421,106.6813,24123.4,30389.4,5334.1,19949.0,1080.7057,1093.7026,-812526.557,-22331.623
