Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,50.0,"[30.0, 70.1]",40.0,36.0,"[20.4, 53.3]",0.356,0.2068,2.555,1.026,51.7,25.6,51.3,42.9,1.2626,1.4892,-3.81,-1.318
Source_Only_ZeroShot,20,15.0,"[0.0, 30.0]",23.33,12.99,"[0.0, 26.5]",-0.042,1.3322,2.8551,1.6185,333.1,28.6,80.9,147.5,1.9353,2.1803,-155.127,-4.086
FewShot_PEFT,20,60.0,"[35.0, 80.0]",50.0,53.48,"[26.7, 69.0]",0.473,0.1289,0.6732,0.9501,32.2,6.7,47.5,28.8,0.584,0.7965,-1.372,-1.055
Domain_Transfer_MMD,20,55.0,"[35.0, 75.1]",41.67,42.58,"[24.8, 55.9]",0.42,0.114,0.6989,0.9181,28.5,7.0,45.9,27.1,0.577,0.7719,-0.781,-1.056
Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,8.0,"[0.0, 16.7]",-0.115,1.3023,1.9522,1.6076,325.6,19.5,80.4,141.8,1.6207,1.8238,-147.025,-4.157
