Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,33.45,"[17.9, 49.7]",0.301,0.184,3.0001,1.0661,46.0,30.0,53.3,43.1,1.4167,1.6333,-3.362,-1.279
Source_Only_ZeroShot,20,25.0,"[5.0, 45.0]",16.67,8.7,"[2.5, 14.6]",-0.045,0.8237,1.0301,4.4559,205.9,10.3,222.8,146.3,2.1032,2.228,-60.899,-31.496
FewShot_PEFT,20,30.0,"[10.0, 50.0]",26.67,26.67,"[10.0, 40.6]",0.117,0.1666,1.1698,1.229,41.6,11.7,61.4,38.3,0.8551,1.1146,-2.414,-2.857
Domain_Transfer_MMD,20,50.0,"[30.0, 70.0]",43.33,45.74,"[22.1, 62.8]",0.361,0.1652,1.1186,1.1588,41.3,11.2,57.9,36.8,0.8142,1.0509,-2.561,-2.745
Physics_TTA,20,25.0,"[5.0, 45.0]",16.67,9.52,"[3.1, 15.7]",0.0,0.7609,0.7875,4.0164,190.2,7.9,200.8,133.0,1.8549,1.9831,-52.251,-25.792
