,Ellipse,Rectangular,Step_R,Step_T,Triangular
Ellipse,4,0,0,0,0
Rectangular,2,2,0,2,0
Step_R,0,0,0,2,0
Step_T,0,2,0,0,0
Triangular,2,0,0,0,4
