Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,32.73,"[17.4, 49.3]",0.289,0.1846,2.9126,1.0874,46.2,29.1,54.4,43.2,1.3949,1.7229,-2.921,-1.688
Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.1032,16.502,1.9362,25.8,165.0,96.8,95.9,6.1805,6.5081,-0.486,-6.627
FewShot_PEFT,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.0811,14.8629,1.7388,20.3,148.6,86.9,85.3,5.5609,5.877,0.042,-5.227
Domain_Transfer_MMD,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.0949,14.4536,2.0724,23.7,144.5,103.6,90.6,5.5403,5.8581,-0.397,-7.68
Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.0957,16.2475,1.9307,23.9,162.5,96.5,94.3,6.0913,6.4146,-0.339,-6.61
